County,Route,Facility,Location,MP,Bridge ID#,Gross (tons),KY Type 1 (tons),KY Type 2 (tons),KY Type 3 (tons),KY Type 4 (tons),SU5 (tons),SU6 (tons),SU7 (tons)
Fayette,CS-4720,ROANOKE ROAD,500 FT EAST ALEXANDRIA,0.185,034C00064N,18,,,,,,,
Fayette,CS-4222,CROMWELL WAY,.6  MI E - CLAYS MILL RD,0.797,034C00068N,18,,,,,,,
Fleming,KY-597,KY-597,.50 MI SOU. OF MASON CL,5.928,035B00004N,,28,30,33,44,36,37,39
Fleming,KY-32,KY-32,2.1 MI S.E. OF JCT KY 156,19.669,035B00012N,,30,31,34,44,37,38,39
Fleming,KY-32,KY-32,.20 MI NOR OF JCT KY 1013,23.254,035B00013N,,36,38,42,44,,,
Fleming,KY-32,KY-32,.90 MI SOU OF JCT KY 1013,24.309,035B00014N,,36,37,42,44,,,
Fleming,KY-32,KY-32,1.6 MI NW OF ROWAN CO.LN.,26.688,035B00015N,,38,39,44,44,,,
Fleming,KY-111,KY-111,1.2 MI SOU. OF JCT KY 156,9.343,035B00017N,,29,30,35,44,38,38,41
Fleming,KY-32,KY-32,1.6 MI EAST OF JCT KY 170,8.232,035B00037N,,20,27,34,40,40,40,40
Fleming,KY-559,KY-559,2.8 MI E OF JCT KY 32BUS.,7.409,035B00044N,,33,34,38,44,42,42,44
Fleming,KY-559,KY-559,2.6 MI E OF JCT KY 32BUS.,7.163,035B00045N,,34,36,40,44,,,
Fleming,KY-559,KY-559,2.7 MI W OF JCT KY 1013,12.436,035B00046N,22,,,,,,,
Fleming,KY-559,KY-559,1.9 MI W OF JCT KY 1013,13.162,035B00047N,22,,,,,,,
Fleming,KY-697,KY-697,.05 MI SW OF JCT KY 2510,2.706,035B00051N,22,,,,,,,
Fleming,KY-1013,KY-1013,2.5 MI EAST OF JCT KY 158,2.356,035B00052N,22,,,,,,,
Fleming,KY-1515,KY-1515,.2 MI SE OF JCT KY 2510,2.355,035B00057N,,28,29,32,44,34,35,36
Fleming,KY-1515,KY-1515,.05 MI WEST OF JCT KY 111,0.035,035B00058N,22,,,,,,,
Fleming,KY-1325,KY-1325,.40 MI N.W. OF JCT KY 11,0.321,035B00059N,22,,,,,,,
